gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
482,1,4096,4096,8192,64,64,64,64,1,1,1,1,32,16,0,0,0,True,True,False,,,False,,,,
53,2,4096,4096,8192,256,128,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,1,True,313.83,441.67,1.40733,236
783,3,4096,4096,8192,512,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,2,True,314.5,451.0,1.43402,244
202,4,4096,4096,8192,256,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,3,True,318.83,514.33,1.61317,319
231,5,4096,4096,8192,512,128,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://7,4,True,319.83,320.33,1.00156,46
256,6,4096,4096,8192,512,128,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,5,True,318.83,511.67,1.60481,313
150,7,4096,4096,8192,256,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,6,True,319.83,387.0,1.21001,154
316,8,4096,4096,8192,64,128,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,7,True,314.5,870.0,2.7663,573
485,9,4096,4096,8192,128,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,8,True,313.83,647.0,2.0616,457
861,10,4096,4096,8192,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,9,True,318.83,337.67,1.05907,79
49,11,4096,4096,8192,256,32,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://2,10,True,313.83,353.0,1.1248,109
397,12,4096,4096,8192,128,32,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,11,True,314.5,1006.67,3.20085,633
232,13,4096,4096,8192,512,32,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,12,True,319.83,543.0,1.69776,363
369,14,4096,4096,8192,16,64,512,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,13,True,318.83,1186.67,3.7219,667
659,15,4096,4096,8192,16,512,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,14,True,314.5,1430.0,4.5469,699
264,16,4096,4096,8192,512,256,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,15,True,319.83,1523.33,4.7629,713
788,17,4096,4096,8192,256,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,16,True,313.83,19500.0,62.13489,952
85,18,4096,4096,8192,32,512,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://6,17,True,318.83,447.67,1.40408,234
847,19,4096,4096,8192,128,64,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,18,True,314.5,1710.0,5.4372,738
426,20,4096,4096,8192,32,64,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,19,True,319.83,297.0,0.92861,15
812,21,4096,4096,8192,512,512,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,20,True,313.83,452.33,1.44132,247
771,22,4096,4096,8192,64,512,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,21,True,318.83,18800.0,58.96498,951
878,23,4096,4096,8192,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,22,True,314.5,909.0,2.8903,591
816,24,4096,4096,8192,256,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,23,True,319.83,2536.67,7.93121,798
636,25,4096,4096,8192,512,256,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,24,True,313.83,1776.67,5.66118,748
391,26,4096,4096,8192,64,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,25,True,318.83,12800.0,40.14637,923
537,27,4096,4096,8192,128,64,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,26,True,314.5,4723.33,15.01855,846
634,28,4096,4096,8192,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,27,True,319.83,305.33,0.95466,26
174,29,4096,4096,8192,256,16,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,28,True,313.83,1873.33,5.9692,758
56,30,4096,4096,8192,256,256,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://6,29,True,318.83,1643.33,5.15421,726
33,31,4096,4096,8192,128,64,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://5,30,True,314.5,284.33,0.90408,9
534,32,4096,4096,8192,256,128,128,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,31,True,319.83,709.33,2.21782,495
447,33,4096,4096,8192,128,32,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://2,32,True,313.83,645.67,2.05736,453
184,34,4096,4096,8192,256,16,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,33,True,318.83,656.0,2.0575,454
770,35,4096,4096,8192,512,512,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://5,34,True,314.5,828.67,2.63487,550
958,36,4096,4096,8192,128,128,256,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,35,True,313.83,17566.67,55.97451,950
392,37,4096,4096,8192,128,64,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,36,True,319.83,1416.67,4.42939,696
458,38,4096,4096,8192,64,32,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,37,True,318.83,780.67,2.44851,531
702,39,4096,4096,8192,64,16,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,38,True,314.5,683.0,2.1717,487
16,40,4096,4096,8192,128,256,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,39,True,319.83,643.33,2.01146,438
784,41,4096,4096,8192,128,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,40,True,313.83,8860.0,28.23155,894
962,42,4096,4096,8192,256,128,128,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://6,41,True,318.83,601.67,1.88709,410
666,43,4096,4096,8192,128,64,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,42,True,314.5,358.33,1.13937,118
880,44,4096,4096,8192,32,128,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://2,43,True,313.83,830.67,2.64684,552
483,45,4096,4096,8192,64,128,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,44,True,319.83,642.0,2.0073,436
475,46,4096,4096,8192,128,512,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,45,True,318.83,404.0,1.26712,185
501,47,4096,4096,8192,128,256,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,46,True,314.5,9366.67,29.78272,899
372,48,4096,4096,8192,16,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,47,True,319.83,296.33,0.92652,13
901,49,4096,4096,8192,512,128,64,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://2,48,True,313.83,1586.67,5.05576,722
188,50,4096,4096,8192,256,32,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,49,True,318.83,316.67,0.9932,42
421,51,4096,4096,8192,32,256,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,50,True,314.5,530.67,1.68733,357
806,52,4096,4096,8192,128,512,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://2,51,True,313.83,1170.0,3.72809,668
744,53,4096,4096,8192,512,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,52,True,319.83,413.67,1.29338,198
648,54,4096,4096,8192,32,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,53,True,318.83,647.67,2.03136,445
149,55,4096,4096,8192,256,256,128,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,54,True,314.5,860.67,2.73662,571
18,56,4096,4096,8192,32,256,128,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://2,55,True,313.83,3790.0,12.07647,829
864,57,4096,4096,8192,32,128,128,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,56,True,319.83,537.67,1.68108,355
298,58,4096,4096,8192,256,512,64,512,1,1,1,8,32,16,0,0,0,True,True,True,hip://6,57,True,318.83,434.0,1.36121,217
561,59,4096,4096,8192,512,64,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://5,58,True,314.5,2900.0,9.22099,812
956,60,4096,4096,8192,32,128,256,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,59,True,313.83,465.67,1.4838,263
653,61,4096,4096,8192,64,256,32,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://7,60,True,319.83,665.33,2.08025,461
320,62,4096,4096,8192,256,64,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,61,True,318.83,557.33,1.74804,378
708,63,4096,4096,8192,128,512,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://5,62,True,314.5,407.0,1.29412,199
568,64,4096,4096,8192,128,256,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,63,True,319.83,4610.0,14.41376,841
38,65,4096,4096,8192,256,512,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,64,True,313.83,291.0,0.92724,14
262,66,4096,4096,8192,512,256,64,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,65,True,318.83,2356.67,7.39153,789
588,67,4096,4096,8192,32,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,66,True,314.5,7203.33,22.90408,875
450,68,4096,4096,8192,128,32,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,67,True,319.83,830.33,2.59614,542
916,69,4096,4096,8192,64,256,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,68,True,313.83,459.67,1.46468,252
76,70,4096,4096,8192,256,32,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://6,69,True,318.83,393.67,1.23471,168
247,71,4096,4096,8192,512,128,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,70,True,314.5,555.33,1.76577,383
530,72,4096,4096,8192,256,64,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,71,True,319.83,7630.0,23.85618,878
808,73,4096,4096,8192,32,512,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://2,72,True,313.83,423.33,1.34891,213
694,74,4096,4096,8192,256,32,128,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,73,True,318.83,690.0,2.16414,483
503,75,4096,4096,8192,64,256,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,74,True,314.5,661.67,2.10387,469
178,76,4096,4096,8192,256,256,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,75,True,319.83,501.33,1.56748,299
749,77,4096,4096,8192,512,128,64,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,76,True,313.83,4630.0,14.75305,844
354,78,4096,4096,8192,128,128,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://6,77,True,318.83,327.33,1.02666,66
846,79,4096,4096,8192,64,64,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,78,True,314.5,522.0,1.65978,348
189,80,4096,4096,8192,256,32,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,79,True,319.83,354.67,1.10891,100
522,81,4096,4096,8192,128,128,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,80,True,313.83,587.0,1.87042,408
834,82,4096,4096,8192,256,256,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://5,81,True,314.5,1486.67,4.72708,709
649,83,4096,4096,8192,64,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,82,True,318.83,368.67,1.1563,126
336,84,4096,4096,8192,128,64,64,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://7,83,True,319.83,557.0,1.74153,377
406,85,4096,4096,8192,128,64,256,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,84,True,313.83,445.67,1.42007,241
375,86,4096,4096,8192,16,256,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,85,True,314.5,1036.67,3.29624,647
251,87,4096,4096,8192,512,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,86,True,318.83,1486.67,4.66283,706
755,88,4096,4096,8192,128,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,87,True,319.83,15000.0,46.89943,941
796,89,4096,4096,8192,256,512,64,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,88,True,313.83,518.0,1.65056,339
198,90,4096,4096,8192,256,256,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,89,True,314.5,7123.33,22.64971,874
589,91,4096,4096,8192,512,64,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,90,True,318.83,1173.33,3.68008,666
311,92,4096,4096,8192,64,64,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,91,True,319.83,700.33,2.18968,490
906,93,4096,4096,8192,64,128,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,92,True,313.83,975.0,3.10674,619
837,94,4096,4096,8192,32,64,512,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,93,True,314.5,375.67,1.19449,145
329,95,4096,4096,8192,128,64,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,94,True,318.83,709.33,2.22478,496
538,96,4096,4096,8192,32,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,95,True,319.83,397.33,1.24231,172
660,97,4096,4096,8192,64,512,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,96,True,313.83,583.33,1.85874,403
689,98,4096,4096,8192,64,32,128,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://5,97,True,314.5,891.0,2.83307,583
911,99,4096,4096,8192,128,256,64,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://6,98,True,318.83,458.33,1.43753,246
480,100,4096,4096,8192,64,512,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,99,True,319.83,276.0,0.86295,5
282,101,4096,4096,8192,512,512,64,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,100,True,313.83,12100.0,38.5555,921
807,102,4096,4096,8192,64,512,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://5,101,True,314.5,15266.67,48.54266,943
365,103,4096,4096,8192,128,128,256,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://6,102,True,318.83,465.33,1.45949,250
28,104,4096,4096,8192,512,128,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://7,103,True,319.83,5350.0,16.72746,853
350,105,4096,4096,8192,128,32,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://2,104,True,313.83,314.0,1.00053,45
790,106,4096,4096,8192,64,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,105,True,314.5,1130.0,3.593,662
866,107,4096,4096,8192,128,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,106,True,318.83,638.0,2.00105,435
409,108,4096,4096,8192,128,16,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,107,True,319.83,317.33,0.99218,40
308,109,4096,4096,8192,256,64,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,108,True,313.83,613.33,1.95433,422
157,110,4096,4096,8192,256,32,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,109,True,314.5,749.67,2.38368,524
536,111,4096,4096,8192,256,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,110,True,318.83,1033.33,3.24098,639
302,112,4096,4096,8192,32,128,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,111,True,319.83,359.0,1.12246,108
767,113,4096,4096,8192,128,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,112,True,313.83,1026.67,3.27138,644
506,114,4096,4096,8192,64,128,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,113,True,314.5,1530.0,4.86486,716
229,115,4096,4096,8192,512,512,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,114,True,318.83,673.33,2.11187,471
594,116,4096,4096,8192,256,256,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,115,True,319.83,17000.0,53.15268,946
585,117,4096,4096,8192,128,64,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,116,True,313.83,2176.67,6.93574,778
899,118,4096,4096,8192,128,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,117,True,314.5,718.33,2.28405,510
860,119,4096,4096,8192,128,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,118,True,318.83,357.33,1.12075,106
493,120,4096,4096,8192,64,256,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,119,True,319.83,409.67,1.28088,191
185,121,4096,4096,8192,256,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,120,True,313.83,393.33,1.25332,178
444,122,4096,4096,8192,128,32,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,121,True,314.5,1006.67,3.20085,634
24,123,4096,4096,8192,256,256,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://6,122,True,318.83,540.33,1.69472,362
287,124,4096,4096,8192,512,128,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://7,123,True,319.83,387.67,1.21209,155
434,125,4096,4096,8192,16,256,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,124,True,313.83,5616.67,17.89697,858
1,126,4096,4096,8192,32,128,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://5,125,True,314.5,836.67,2.66031,555
774,127,4096,4096,8192,128,512,32,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://6,126,True,318.83,1040.0,3.26189,641
436,128,4096,4096,8192,32,128,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,127,True,313.83,483.67,1.54116,290
672,129,4096,4096,8192,512,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,128,True,319.83,548.0,1.71339,370
830,130,4096,4096,8192,16,512,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,129,True,314.5,1600.0,5.08744,724
859,131,4096,4096,8192,128,64,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,130,True,318.83,1323.33,4.15055,688
334,132,4096,4096,8192,128,64,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,131,True,319.83,388.0,1.21313,156
630,133,4096,4096,8192,256,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,132,True,313.83,721.33,2.29846,513
737,134,4096,4096,8192,512,64,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,133,True,314.5,331.33,1.05352,77
333,135,4096,4096,8192,128,64,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,134,True,318.83,522.0,1.63722,331
241,136,4096,4096,8192,512,64,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://7,135,True,319.83,776.67,2.42835,527
381,137,4096,4096,8192,64,16,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,136,True,313.83,1003.33,3.19703,631
729,138,4096,4096,8192,256,256,128,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://5,137,True,314.5,2033.33,6.46529,770
487,139,4096,4096,8192,128,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,138,True,318.83,1030.0,3.23053,637
325,140,4096,4096,8192,128,64,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,139,True,319.83,380.33,1.18916,141
772,141,4096,4096,8192,512,512,32,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://2,140,True,313.83,525.67,1.67499,352
411,142,4096,4096,8192,128,128,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,141,True,314.5,12800.0,40.69952,925
358,143,4096,4096,8192,128,512,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://6,142,True,318.83,2456.67,7.70518,795
236,144,4096,4096,8192,512,64,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://2,143,True,313.83,467.33,1.48911,266
544,145,4096,4096,8192,128,128,128,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,144,True,319.83,1001.33,3.1308,621
177,146,4096,4096,8192,256,512,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,145,True,314.5,358.67,1.14043,119
611,147,4096,4096,8192,32,64,256,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://6,146,True,318.83,20133.33,63.14689,955
326,148,4096,4096,8192,128,64,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,147,True,319.83,618.0,1.93226,418
200,149,4096,4096,8192,256,256,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,148,True,313.83,462.0,1.47212,256
822,150,4096,4096,8192,256,512,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,149,True,314.5,340.33,1.08214,91
717,151,4096,4096,8192,128,256,128,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,150,True,318.83,4636.67,14.5426,843
560,152,4096,4096,8192,512,256,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,151,True,319.83,954.67,2.98489,604
608,153,4096,4096,8192,32,64,512,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://2,152,True,313.83,5446.67,17.35528,857
765,154,4096,4096,8192,512,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,153,True,314.5,1123.33,3.57181,659
542,155,4096,4096,8192,64,128,128,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://6,154,True,318.83,13800.0,43.2828,933
667,156,4096,4096,8192,16,128,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,155,True,319.83,319.0,0.99739,43
211,157,4096,4096,8192,256,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,156,True,313.83,1760.0,5.60807,746
787,158,4096,4096,8192,128,64,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,157,True,314.5,1993.33,6.3381,768
92,159,4096,4096,8192,512,32,64,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,158,True,318.83,778.33,2.44119,530
110,160,4096,4096,8192,256,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,159,True,319.83,685.67,2.14382,480
795,161,4096,4096,8192,512,128,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,160,True,313.83,463.67,1.47743,260
353,162,4096,4096,8192,128,128,64,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://5,161,True,314.5,506.33,1.60996,315
327,163,4096,4096,8192,128,64,256,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,162,True,318.83,324.67,1.0183,58
427,164,4096,4096,8192,64,64,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,163,True,319.83,421.33,1.31735,208
743,165,4096,4096,8192,512,64,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,164,True,313.83,400.33,1.27562,188
129,166,4096,4096,8192,256,512,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,165,True,314.5,995.33,3.16481,626
571,167,4096,4096,8192,64,512,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://6,166,True,318.83,9736.67,30.53842,902
797,168,4096,4096,8192,128,256,128,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://7,167,True,319.83,483.67,1.51225,273
932,169,4096,4096,8192,16,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,168,True,314.5,326.33,1.03763,72
496,170,4096,4096,8192,64,16,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,169,True,313.83,840.67,2.6787,558
88,171,4096,4096,8192,512,128,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://6,170,True,318.83,969.67,3.0413,611
364,172,4096,4096,8192,16,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,171,True,319.83,10300.0,32.20427,907
726,173,4096,4096,8192,256,64,128,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://2,172,True,313.83,1123.33,3.57939,660
948,174,4096,4096,8192,32,256,128,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,173,True,314.5,439.0,1.39587,231
502,175,4096,4096,8192,32,256,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,174,True,318.83,643.67,2.01882,440
466,176,4096,4096,8192,32,64,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,175,True,319.83,855.67,2.67535,557
26,177,4096,4096,8192,512,256,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,176,True,313.83,691.0,2.20181,492
463,178,4096,4096,8192,128,32,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,177,True,314.5,7646.67,24.31373,882
414,179,4096,4096,8192,64,32,256,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,178,True,318.83,630.33,1.977,429
778,180,4096,4096,8192,512,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,179,True,319.83,613.67,1.91871,416
443,181,4096,4096,8192,128,32,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,180,True,313.83,1640.0,5.2257,728
454,182,4096,4096,8192,128,32,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,181,True,314.5,556.33,1.76895,386
50,183,4096,4096,8192,256,32,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,182,True,318.83,653.67,2.05018,450
573,184,4096,4096,8192,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,183,True,319.83,987.33,3.08702,616
682,185,4096,4096,8192,256,32,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,184,True,313.83,653.0,2.08072,462
173,186,4096,4096,8192,256,32,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,185,True,314.5,608.67,1.93535,419
147,187,4096,4096,8192,256,256,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,186,True,318.83,1233.33,3.86827,677
491,188,4096,4096,8192,128,512,64,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://7,187,True,319.83,2250.0,7.03491,780
928,189,4096,4096,8192,64,256,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://2,188,True,313.83,442.0,1.40839,238
148,190,4096,4096,8192,256,256,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,189,True,314.5,357.33,1.1362,115
942,191,4096,4096,8192,64,256,128,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,190,True,318.83,8023.33,25.16466,884
79,192,4096,4096,8192,64,32,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://7,191,True,319.83,519.33,1.62376,325
929,193,4096,4096,8192,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,192,True,313.83,667.0,2.12533,474
404,194,4096,4096,8192,128,256,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,193,True,318.83,1450.0,4.54783,700
183,195,4096,4096,8192,256,64,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,194,True,314.5,2813.33,8.94542,808
227,196,4096,4096,8192,512,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,195,True,319.83,563.67,1.76238,382
596,197,4096,4096,8192,512,32,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,196,True,313.83,529.67,1.68773,358
386,198,4096,4096,8192,32,256,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,197,True,318.83,785.67,2.46419,532
